ACO_ID,ACO_Name,Payment_Use,General_Spend_Category,General_Spend_Subcategory,Total_AIP_Funding_Received_through_December_2025,Projected_Spending_2024,Actual_Spending_2024,Projected_Spending_2025,Actual_Spending_2025,Projected_Spending_2026,Actual_Spending_2026
A5328,HealthONE Colorado Care Partners ACO LLC,N/A,N/A,N/A,840720,N/A,N/A,N/A,N/A,N/A,N/A
A5328,HealthONE Colorado Care Partners ACO LLC,ACO IT Costs to Measure Performance,Health Care Infrastructure,"Other (explain in ""Payment Use"")", ,96254.4,45973,104173,76650,70040,
A5328,HealthONE Colorado Care Partners ACO LLC,Supplemental ACO Staff,Increased Staffing,"Other (explain in ""Payment Use"")", ,96254.4,187181,280951,110674,70040,
A5330,Value Based Long Term Care LLC,N/A,N/A,N/A,3850000,N/A,N/A,N/A,N/A,N/A,N/A
A5330,Value Based Long Term Care LLC,Polypharmacy,Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,0,0,30000,0,30000,
A5330,Value Based Long Term Care LLC,Heart Failure GDMT Program,Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,0,0,50000,0,0,
A5330,Value Based Long Term Care LLC,High Risk High Needs Program,Increased Staffing,Case manager, ,0,0,50000,0,50000,
A5330,Value Based Long Term Care LLC,Building Analytics System,Health Care Infrastructure,Case/practice management systems, ,0,0,100000,499999.98,500000,
A5330,Value Based Long Term Care LLC,On Call Service,Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,0,0,120000,0,0,
A5330,Value Based Long Term Care LLC,Medical Director,Increased Staffing,Physician, ,0,32000,50000,145358.67,50000,
A5330,Value Based Long Term Care LLC,Integration of Case Management,Health Care Infrastructure,Case/practice management systems, ,40000,0,0,3205.53,5000,
A5330,Value Based Long Term Care LLC,EHR Integration of Social Needs Screening Tool ,Health Care Infrastructure,Implementing health-related social needs screening tools, ,200000,0,0,0,0,
A5330,Value Based Long Term Care LLC,EHR Adoption ,Health Care Infrastructure,Investment in certified electronic health record technology (CEHRT), ,120000,103000,0,73197.15,75000,
A5330,Value Based Long Term Care LLC,Clinical quality collecting and reporting,Health Care Infrastructure,Electronic Quality Reporting, ,55000,478052.24,500000,741572.7,300000,
A5330,Value Based Long Term Care LLC,SNF and Provider EMR integration,Health Care Infrastructure,Investment in certified electronic health record technology (CEHRT), ,240000,167302.85,90000,28200,50000,
A5330,Value Based Long Term Care LLC,Remote Access/Telehealth on-call service,Health Care Infrastructure,Remote access technologies/telehealth, ,350000,22279.11,35000,0,0,
A5334,Main Street Rural Health Hickory ACO LLC,N/A,N/A,N/A,3002504,N/A,N/A,N/A,N/A,N/A,N/A
A5334,Main Street Rural Health Hickory ACO LLC,"Salaries for Clinic-based, Patient-facing Health Navigators",Increased Staffing,Community health worker, ,592812.8,1630434,592812.8,1111000,87023.34,
A5335,Memorial Health Partners ACO LLC,N/A,N/A,N/A,2278963,N/A,N/A,N/A,N/A,N/A,N/A
A5335,Memorial Health Partners ACO LLC,ACO IT costs to measure performance,Health Care Infrastructure,Clinical data registries, ,183743,181077,146244,160767,0,
