"ENROLLMENT ID","NPI"
O20030307000027,1972877017
O20030307000029,1972877017
O20030307000033,1972877017
O20030307000043,1972877017
O20030311000017,1689977365
O20030519000032,1639339948
O20030623000001,1508889742
O20031022000027,1598764920
O20031118000233,1609451566
O20031210000518,1073868790
O20040223000414,1710032669
O20040223000414,1942459094
O20040225000244,1114774254
O20040407001561,1609239920
O20040407001561,1609925122
O20040623000437,1609239920
O20040623000437,1861439705
O20041229001052,1245521970
O20050421001576,1962597179
O20050708000341,1700910981
O20050919000671,1740372473
O20051018000637,1518922525
O20051111000062,1508333253
O20060417000076,1124366570
O20060707000089,1306933346
O20060720000152,1740252501
O20060823000610,1346657442
O20060823000610,1518005818
O20060823000610,1740516186
O20060823000610,1821028887
O20060823000618,1346657442
O20060823000618,1376570663
O20060823000618,1518005818
O20060901000350,1134702954
O20060907000595,1104829498
O20061012000683,1225145105
O20061117000394,1437118619
O20061205000714,1891222923
O20070419000115,1972877017
O20070420000167,1972877017
O20070420000171,1972877017
O20070420000178,1972877017
O20070420000183,1972877017
O20070420000185,1972877017
O20070606000451,1598764920
O20070703000745,1679528012
O20070703000748,1679528012
O20070827000778,1114088762
O20070904000737,1124270178
O20070904000737,1518107366
O20070904000738,1518107366
O20070920000529,1780121244
O20070920000529,1871972182
O20070920000529,1982830410
O20080205000232,1699785089
O20080211000766,1992871875
O20080214000244,1992871875
O20080214000293,1992871875
O20080304000508,1992871875
O20080304000732,1992871875
O20080410000421,1407139439
O20080520000633,1043489347
O20080923000414,1245219070
O20081121000690,1972908333
O20081218000470,1063663292
O20090113000727,1780689034
O20090113000747,1780689034
O20090113000777,1780689034
O20090212000720,1366519431
O20090220000476,1689970527
O20090311000506,1023163193
O20090311000506,1275766909
O20090311000506,1619232295
O20090311000506,1639302896
O20090311000506,1699010991
O20090504000618,1881658276
O20090618000014,1205644333
O20090923000307,1932702917
O20091014000281,1942554886
O20091016000565,1649276148
O20091020000267,1598019341
O20100603000598,1770668824
O20100628000881,1831818376
O20100806000053,1346254026
O20100806000248,1215941083
O20100826001084,1740676378
O20100908000006,1902961980
O20100916000433,1871856906
O20101004000914,1497063192
O20101027000085,1992923064
O20101105000714,1912506635
O20101116000211,1881766400
O20101123000082,1922112812
O20110225000334,1508445362
O20110524000263,1902757149
O20110531000175,1669681870
O20110715000039,1568703791
O20110715000205,1376836965
O20110715000266,1760774392
O20110718000407,1730472325
O20110718000462,1538451166
O20110727000228,1467482539
O20110728000134,1467482539
O20110728000134,1760416176
O20110729000161,1467482539
O20110928000645,1992871875
O20110929000011,1992871875
O20110929000015,1992871875
O20111109000796,1467171314
O20111214000203,1255726659
O20111229000245,1083654545
O20120131000506,1831467430
O20120206000149,1184702821
O20120328000784,1154920817
O20120601000386,1710040878
O20120601000476,1316419070
O20120802000008,1992871875
O20120809000922,1891040077
O20120823000152,1386524387
O20121116000251,1508826983
O20121116000477,1508826983
O20121116000513,1508826983
O20121119000475,1669500997
O20121210000245,1235486226
O20130218000140,1972877017
O20130228000228,1558366757
O20130415000277,1568439081
O20130511000090,1518070481
O20130826000015,1972877017
O20140206000927,1225883366
O20140402001089,1801239389
O20140407000688,1760802912
O20140409001148,1588017412
O20140707000219,1255180873
O20140714002144,1215368329
O20140829000799,1609239920
O20140829000799,1609925122
O20140925000237,1992190367
O20141006000385,1275849283
O20141118000292,1457512691
O20150219001372,1114700119
O20150715000607,1861741779
O20150813012502,1679954184
O20150813012502,1952948804
O20150904000225,1699878645
O20151105001962,1396750840
O20160104000460,1609239920
O20160119002180,1497956288
O20160218000518,1609136563
O20160304001312,1740649227
O20160615000745,1528499969
O20160629000055,1053892877
O20160629000055,1568944288
O20160629000055,1679025720
O20160629000455,1114408044
O20160629000455,1386196434
O20160629000455,1396227013
O20160629000455,1497236228
O20160630000023,1063964120
O20160630000023,1326520842
O20160630000023,1740761568
O20160630000089,1124509948
O20160630000089,1174009013
O20160630000089,1568996569
O20160630000089,1669922415
O20160630000321,1043762180
O20160630000321,1619458445
O20160630000321,1811479538
O20160630000827,1003340001
O20160630000827,1124509955
O20160630000827,1558813600
O20160630000827,1588150858
O20160715002090,1780463257
O20160720000567,1932923950
O20160811001634,1831866821
O20160930000007,1699134924
O20170310002094,1861168155
O20170324000163,1366519431
O20170324000662,1366519431
O20170324000920,1366519431
O20170421000009,1659132686
O20170601000820,1972877017
O20170630000571,1346647997
O20170905002241,1528499969
O20171107000917,1780918045
O20171110000425,1477268928
O20171211001341,1275849283
O20171219000115,1972877017
O20180122002627,1881658276
O20180328001119,1972877017
O20180330000550,1972877017
O20180403000336,1972877017
O20180410000219,1972877017
O20180419001779,1972877017
O20180509000142,1972877017
O20180625002371,1972877017
O20180628000947,1396552949
O20180628000947,1417763798
O20180628000947,1649086919
O20180628000947,1669288965
O20180628000947,1700692076
O20180628000947,1760298053
O20180628000947,1902612294
O20180628000947,1992511299
O20180725002074,1427568658
O20180917001697,1093297574
O20180917001697,1508348376
O20180917001697,1891277158
O20190116001366,1881658276
O20190307003235,1790275253
O20190418001393,1740462761
O20190418001393,1780121244
O20190717002456,1760013494
O20190729000537,1417414343
O20190919000883,1538726393
O20191002002910,1609533637
O20191008002888,1598316978
O20191113000588,1710530795
O20200305000021,1265098941
O20200316001887,1215596614
O20200316001887,1770142366
O20201005001478,1346022761
O20210211001964,1568846962
O20210211001964,1922761600
O20210331001868,1568846962
O20210727001744,1558945402
O20210728002238,1134164965
O20210728002238,1184899452
O20210728002238,1811925886
O20211027001765,1225774839
O20220110002435,1336544790
O20220204001870,1316608359
O20220401000122,1689678963
O20220607003401,1417663147
O20220718000026,1528499969
O20220824000036,1871237040
