"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY_NONPROFIT","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","TELEPHONE NUMBER"
O20020819000009,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1801826268,N,101936,2365359387,TRENTON MEDICAL CENTER INC,PALMS MEDICAL GROUP,01/14/1988,FL,CORPORATION,,N,911 S MAIN ST,,TRENTON,FL,326933239,3524632374
O20020829000010,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1619969458,N,331916,6608783568,SUN RIVER HEALTH INC.,,08/05/1975,NY,CORPORATION,,N,75 WASHINGTON ST,,POUGHKEEPSIE,NY,126012303,8457907990
O20020927000008,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1164642419,N,101937,2365359387,TRENTON MEDICAL CENTER INC,PALMS MEDICAL GROUP,01/14/1988,FL,CORPORATION,,N,1830 N MAIN ST,,BELL,FL,326194713,3524631100
O20021011000005,IL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1629156807,N,141927,9537076112,ACCESS COMMUNITY HEALTH NETWORK,AUBURN-GRESHAM FAMILY HEALTH CENTER,08/11/1984,IL,CORPORATION,,N,8234 S ASHLAND AVE,,CHICAGO,IL,606204625,7738741400
O20021011000026,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1417149766,N,251901,6608783295,"DELTA HEALTH CENTER, INC.",,01/27/1972,MS,CORPORATION,,N,598 INGRAM ST,,MOORHEAD,MS,38761,6622468028
O20021029000032,VA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1598895542,N,491848,2668380106,EASTERN SHORE RURAL HEALTH SYSTEM INCORPORATED,CHINCOTEAGUE ISLAND COMMUNITY HEALTH CENTER,07/16/1976,VA,CORPORATION,,N,4049 MAIN ST,,CHINCOTEAGUE ISLAND,VA,233362406,7573363682
O20021127000002,IA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1417005919,N,161807,8426966755,PRIMARY HEALTH CARE INC,PRIMARY HEALTH CARE-UNIVERSITY CLINIC,12/13/1989,IA,CORPORATION,,N,1200 UNIVERSITY AVE,STE 120,DES MOINES,IA,503142355,5152481500
O20021205000018,OR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1629078274,N,381849,9032027206,KLAMATH TRIBAL HEALTH & FAMILY SERVICES,,,,OTHER,TRIBAL GOVERNMENT,N,330 S CHILOQUIN BLVD,,CHILOQUIN,OR,976246747,5417832438
O20021205000021,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1245246917,N,551923,2769390939,"NORTH COUNTY HEALTH PROJECT, INC.",TRUECARE,03/07/1973,CA,CORPORATION,,N,150 VALPREDA RD,,SAN MARCOS,CA,920692973,7607366700
O20021205000023,IN,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1487764759,N,151823,4486562659,RAPHAEL HEALTH CENTER INC,MAPLETON FALL CREEK CHRISTIAN HEALTH CENTER,10/18/1994,IN,CORPORATION,,N,401 EAST 34TH STREET,,INDIANAPOLIS,IN,462053754,3178603968
O20021205000026,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1285893719,N,331908,7113835380,OPEN DOOR FAMILY MEDICAL CENTER INC,,05/02/1975,NY,CORPORATION,,N,5 GRACE CHURCH ST,,PORT CHESTER,NY,105734911,9149378899
O20021207000002,NV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1073688198,N,291829,7113835307,NEVADA HEALTH CENTERS INC,CAMBRIDGE FAMILY HEALTH CENTER,10/22/1992,NV,CORPORATION,,N,3900 CAMBRIDGE ST 102,,LAS VEGAS,NV,891197440,7023075415
