"ENROLLMENT ID","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT"
O20020812000015,100 BIBLE XING,,DECHERD,TN,373243886,,
O20020812000015,1260 UNIVERSITY AVE,,SEWANEE,TN,373752303,,
O20020812000015,186 HOSPITAL RD,STE 200,WINCHESTER,TN,373982473,,
O20020812000015,94 HOSPITAL RD,,WINCHESTER,TN,373982491,,
O20020814000009,10 HIGH ST,STE 105,LEWISTON,ME,042407640,,
O20020814000009,10 HIGH ST,STE 204,LEWISTON,ME,042407657,,
O20020814000009,10 HIGH ST,STE 301,LEWISTON,ME,042407656,,
O20020814000009,105 TOPSHAM FAIR MALL RD,,TOPSHAM,ME,040861773,,
O20020814000009,12 HIGH ST,STE 205,LEWISTON,ME,042407689,,
O20020814000009,12 HIGH ST,STE 301,LEWISTON,ME,042407689,,
O20020814000009,12 HIGH STREET,SUITE 103,LEWISTON,ME,042400702,,
O20020814000009,12 HIGH STREET SUITE 102,,LEWISTON,ME,042407676,,
O20020814000009,12 HIGH STREET SUITE 302,,LEWISTON,ME,042407676,,
O20020814000009,12 HIGH STREET SUITE 400,,LEWISTON,ME,042407676,,
O20020814000009,12 HIGH STREET SUITE 401,,LEWISTON,ME,042407676,,
O20020814000009,126 SHAKER RD,,GRAY,ME,040399629,,
O20020814000009,17 HIGH ST,STE 1A,LEWISTON,ME,042407614,,
O20020814000009,17 HIGH ST,STE 1B,LEWISTON,ME,042407614,,
O20020814000009,17 HIGH ST,STE 2,LEWISTON,ME,042407614,,
O20020814000009,17 HIGH ST,STE 4,LEWISTON,ME,042407614,,
O20020814000009,17 HIGH ST,STE 6,LEWISTON,ME,042407614,,
O20020814000009,17 HIGH ST,STE 7,LEWISTON,ME,042407614,,
O20020814000009,17 HIGH ST,STE 8,LEWISTON,ME,042407614,,
O20020814000009,190 STETSON ROAD,,AUBURN,ME,042107813,,
O20020814000009,23 BOWDOIN STREET,,MANCHESTER,ME,043513554,,
O20020814000009,25 BOWDOIN ST,,MANCHESTER,ME,043513554,,
O20020814000009,364 MAINE STREET,,POLAND,ME,042745109,,
O20020814000009,4 HORTON PL,,TOPSHAM,ME,040861747,,
O20020814000009,685 SABATTUS ST,,LEWISTON,ME,042403831,,
O20020814000009,690 MINOT AVE,STE 1,AUBURN,ME,042103922,,
O20020814000009,690 MINOT AVE,STE 2,AUBURN,ME,042103922,,
O20020814000009,690 MINOT AVE,STE 3,AUBURN,ME,042103922,,
