Case_ID,Hosp_Name,Hosp_Address,City,State,Action,Date_of_Action
1075,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,MN,Warning Notice,12/20/2022
1075,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,MN,CAP Request,04/13/2023
1075,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,MN,Closure Notice,04/27/2023
3477,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,MN,Met Requirements,03/28/2025
800,Abrazo Arizona Heart Hospital,1930 E Thomas Rd,Phoenix,AZ,Warning Notice,04/14/2023
3084,Abrazo Arizona Heart Hospital,1930 E Thomas Rd,Phoenix,AZ,Warning Notice,02/25/2025
800,Abrazo Arizona Heart Hospital,1930 E Thomas Rd,Phoenix,AZ,Closure Notice,08/01/2023
3084,Abrazo Arizona Heart Hospital,1930 E Thomas Rd,Phoenix,AZ,Closure Notice,03/13/2025
801,Abrazo Arrowhead Campus,18701 N. 67th Avenue,Glendale,AZ,Warning Notice,05/02/2023
3203,Abrazo Arrowhead Campus,18701 N. 67th Avenue,Glendale,AZ,Warning Notice,03/06/2025
801,Abrazo Arrowhead Campus,18701 N. 67th Avenue,Glendale,AZ,Closure Notice,08/21/2023
3203,Abrazo Arrowhead Campus,18701 N. 67th Avenue,Glendale,AZ,Closure Notice,06/05/2025
3202,Abrazo Cave Creek Hospital,5227 East Carefree Highway,Cave Creek,AZ,Met Requirements,03/12/2025
3201,Abrazo Central Campus,2000 W Bethany Home Rd,Phoenix,AZ,Warning Notice,03/06/2025
3201,Abrazo Central Campus,2000 W Bethany Home Rd,Phoenix,AZ,Closure Notice,06/05/2025
802,Abrazo Central Campus,2000 W Bethany Home Rd,Phoenix,AZ,Met Requirements,03/27/2023
175,Abrazo Mesa Hospital,5750 East Baseline Road,Mesa,AZ,Warning Notice,08/25/2021
175,Abrazo Mesa Hospital,5750 East Baseline Road,Mesa,AZ,Closure Notice,02/23/2022
803,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,Warning Notice,04/14/2023
3200,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,Warning Notice,03/10/2025
803,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,Closure Notice,08/03/2023
3200,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,Closure Notice,06/11/2025
176,Abrazo Surprise Hospital,16815 W Bell Rd,Surprise,AZ,Warning Notice,08/25/2021
176,Abrazo Surprise Hospital,16815 W Bell Rd,Surprise,AZ,CAP Request,05/04/2022
176,Abrazo Surprise Hospital,16815 W Bell Rd,Surprise,AZ,Closure Notice,05/12/2023
3199,Abrazo Surprise Hospital,16815 W Bell Rd,Surprise,AZ,Met Requirements,03/11/2025
804,Abrazo West Campus,13677 W Mcdowell Rd,Goodyear,AZ,Warning Notice,04/27/2023
3204,Abrazo West Campus,13677 W Mcdowell Rd,Goodyear,AZ,Warning Notice,03/10/2025
804,Abrazo West Campus,13677 W Mcdowell Rd,Goodyear,AZ,Closure Notice,08/16/2023
3204,Abrazo West Campus,13677 W Mcdowell Rd,Goodyear,AZ,Closure Notice,06/11/2025
6232,Abrom Kaplan Memorial Hospital,1310 W 7th St,Kaplan,LA,Met Requirements,08/11/2025
6245,Acadia General Hospital,1305 Crowley Rayne Highway,Crowley,LA,Met Requirements,08/12/2025
6901,Acadian Medical Center,3501 Highway 190,Eunice,LA,Warning Notice,01/30/2026
6495,Acadiana Rehabilitation,314 Youngsville Hwy,Lafayette,LA,Warning Notice,09/05/2025
6495,Acadiana Rehabilitation,314 Youngsville Hwy,Lafayette,LA,CAP Request,12/09/2025
6495,Acadiana Rehabilitation,314 Youngsville Hwy,Lafayette,LA,Closure Notice,03/03/2026
844,Acadia-Saint Landry Hospital,810 S Broadway St,Church Point,LA,Warning Notice,12/20/2022
6479,Acadia-Saint Landry Hospital,810 S Broadway St,Church Point,LA,Warning Notice,09/04/2025
844,Acadia-Saint Landry Hospital,810 S Broadway St,Church Point,LA,CAP Request,04/18/2023
844,Acadia-Saint Landry Hospital,810 S Broadway St,Church Point,LA,Closure Notice,07/17/2023
6479,Acadia-Saint Landry Hospital,810 S Broadway St,Church Point,LA,Closure Notice,12/02/2025
1336,Access Hospital Dayton,2611 Wayne Avenue,Dayton,OH,Warning Notice,09/29/2022
1336,Access Hospital Dayton,2611 Wayne Avenue,Dayton,OH,CAP Request,09/20/2023
1336,Access Hospital Dayton,2611 Wayne Avenue,Dayton,OH,Closure Notice,03/07/2024
6904,ACMH Hospital,1 Nolte Dr,Kittanning,PA,Warning Notice,01/30/2026
5146,Acuity Specialty Hospital Of New Jersey,1925 Pacific Ave,Atlantic City,NJ,Met Requirements,06/13/2025
6864,Acute Rehabilitation Hospital Of Plano,2301 Marsh Lane,Plano,TX,Warning Notice,01/28/2026
2119,Adair County Health System,609 SE Kent St,Greenfield,IA,Met Requirements,12/07/2023
2347,Adair County Health System,609 SE Kent St,Greenfield,IA,Met Requirements,04/04/2024
5669,Adair County Health System,609 SE Kent St,Greenfield,IA,Met Requirements,07/11/2025
2699,Adams County Regional Medical Center,230 Medical Center Dr,Seaman,OH,CAP Request,09/24/2024
2699,Adams County Regional Medical Center,230 Medical Center Dr,Seaman,OH,CAP Request,01/08/2025
2699,Adams County Regional Medical Center,230 Medical Center Dr,Seaman,OH,Closure Notice,04/02/2025
2375,Adams Memorial Hospital,1100 Mercer Ave,Decatur,IN,Warning Notice,03/19/2024
2375,Adams Memorial Hospital,1100 Mercer Ave,Decatur,IN,Closure Notice,06/18/2024
2124,Adams Memorial Hospital,1100 Mercer Ave,Decatur,IN,Met Requirements,12/06/2023
6594,Adcare Hospital Of Worcester Inc,107 Lincoln Street,Worcester,MA,CAP Request,09/15/2025
6594,Adcare Hospital Of Worcester Inc,107 Lincoln Street,Worcester,MA,Closure Notice,12/19/2025
5625,Adena Fayette Medical Center,1430 Columbus Ave,Washington Court House,OH,Met Requirements,07/09/2025
5627,Adena Greenfield Medical Center,550 Mirabeau St,Greenfield,OH,Met Requirements,07/09/2025
5629,Adena Pike Medical Center,100 Dawn Ln,Waverly,OH,Met Requirements,07/11/2025
1126,Adena Regional Medical Center,272 Hospital Rd,Chillicothe,OH,Warning Notice,10/02/2023
1126,Adena Regional Medical Center,272 Hospital Rd,Chillicothe,OH,Closure Notice,03/12/2024
5631,Adena Regional Medical Center,272 Hospital Rd,Chillicothe,OH,Met Requirements,07/09/2025
2795,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,Warning Notice,10/10/2024
2795,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,CAP Request,01/15/2025
2795,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,Closure Notice,02/14/2025
