HOSP_ID,ADM_DISC,RATE,INTERVAL_LOWER_LIMIT,INTERVAL_HIGHER_LIMIT,START_QUARTER,START_DATE,END_QUARTER,END_DATE
010001,1763,9.86,5.23,14.48,3Q2013,07/01/2013,2Q2015,06/30/2015
010005,218,17.59,8,27.18,3Q2013,07/01/2013,2Q2015,06/30/2015
010006,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010007,57,11.37,0,23.43,3Q2013,07/01/2013,2Q2015,06/30/2015
010008,2,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010011,791,15.45,7.98,22.92,3Q2013,07/01/2013,2Q2015,06/30/2015
010012,127,9.61,0,19.55,3Q2013,07/01/2013,2Q2015,06/30/2015
010016,629,11.69,5.32,18.06,3Q2013,07/01/2013,2Q2015,06/30/2015
010018,30,9.22,0,20.08,3Q2013,07/01/2013,2Q2015,06/30/2015
010019,5,13.61,0.42,26.81,3Q2013,07/01/2013,2Q2015,06/30/2015
010021,139,24.11,13.77,34.44,3Q2013,07/01/2013,2Q2015,06/30/2015
010022,4,13.33,0.28,26.39,3Q2013,07/01/2013,2Q2015,06/30/2015
010023,1398,11.42,5.46,17.39,3Q2013,07/01/2013,2Q2015,06/30/2015
010024,1233,18.61,13.47,23.74,3Q2013,07/01/2013,2Q2015,06/30/2015
010029,1297,14.83,8.51,21.15,3Q2013,07/01/2013,2Q2015,06/30/2015
010032,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010033,4122,14.3,11.52,17.07,3Q2013,07/01/2013,2Q2015,06/30/2015
010034,1,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010035,558,13.06,4.27,21.84,3Q2013,07/01/2013,2Q2015,06/30/2015
010036,6,13.41,0.32,26.5,3Q2013,07/01/2013,2Q2015,06/30/2015
010038,197,13.65,3.52,23.79,3Q2013,07/01/2013,2Q2015,06/30/2015
010039,4817,10.64,6.97,14.31,3Q2013,07/01/2013,2Q2015,06/30/2015
010040,1260,17.47,11.2,23.74,3Q2013,07/01/2013,2Q2015,06/30/2015
010044,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010045,6,13.38,0.3,26.45,3Q2013,07/01/2013,2Q2015,06/30/2015
010046,562,13.88,7.4,20.36,3Q2013,07/01/2013,2Q2015,06/30/2015
010047,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010049,357,9.31,0,19.1,3Q2013,07/01/2013,2Q2015,06/30/2015
010051,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010052,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010055,1783,12.62,7.81,17.42,3Q2013,07/01/2013,2Q2015,06/30/2015
010056,3436,11.72,7.02,16.43,3Q2013,07/01/2013,2Q2015,06/30/2015
010058,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010059,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
010061,111,10.32,0,21.81,3Q2013,07/01/2013,2Q2015,06/30/2015
010062,41,10.09,0,21.44,3Q2013,07/01/2013,2Q2015,06/30/2015
